date,open,high,low,close,volume
2016-03-14,123.93,134.68,123.86,133.96,28065000
2016-03-21,133.46,136.78,130.03,132.12,19594700
2016-03-28,132.53,132.73,125.11,126.96,28297700
2016-04-04,126.54,130.02,125.58,127.88,22230700
2016-04-11,128.25,131.95,126.68,131.13,20902000
2016-04-18,131.13,133.85,128.49,131.05,21443700
2016-04-25,130.45,137.89,129.31,134.8,26289800
2016-05-02,134.38,135,130.53,133.26,17738200
2016-05-09,132.8,135.24,131.82,132.12,18655100
2016-05-16,131.63,134.49,127.09,127.39,19617100
2016-05-23,127.4,129.9,125.88,129.22,19366800
2016-05-30,129.88,129.98,124.78,127.38,21861700
2016-06-06,127.6,133.82,127.45,131.14,22943700
2016-06-13,130.79,131.76,126.9,129.82,21492500
2016-06-20,131.36,134.55,126.21,126.52,23635000
2016-06-27,125.68,130.34,122.35,129.69,22882500
2016-07-04,128.43,130.46,123.96,130.09,15458300
2016-07-11,130.84,133.25,129.37,132.39,18238700
2016-07-18,132.38,135.67,130.57,133.47,17056800
2016-07-25,133.18,139.45,132.3,133.66,22109100
2016-08-01,133.21,134.23,130.96,131.73,14711400
2016-08-08,132.14,133.78,131.71,133.1,12898200
2016-08-15,133.7,135.96,133.4,134.44,12379800
2016-08-22,134.3,136.37,131.82,132.23,12033400
2016-08-29,132.72,133.58,128.36,131.16,14894700
2016-09-05,131.63,133.08,128.52,128.53,13861700
2016-09-12,126.88,130.68,126.31,126.7,26386900
2016-09-19,127.5,132.48,127.27,131.78,14619000
2016-09-26,131.07,132.78,129.86,131.74,11250200
2016-10-03,131.28,135,130.74,133.85,16323000
2016-10-10,134.59,136.87,131.39,133.5,15076400
2016-10-17,133.5,136.95,133.33,135.63,11716700
2016-10-24,136.41,146.23,136.41,143.01,34788500
2016-10-31,143.05,143.9,138.8,139.54,14335300
2016-11-07,141.5,149.34,141.29,148.52,21639900
2016-11-14,148.21,150.09,144.46,146.35,17777700
2016-11-21,147.21,150.81,146.52,150.04,10415700
2016-11-28,149,153.08,148.32,152.25,17614900
2016-12-05,153.24,156.88,150.02,156.49,14924300
2016-12-12,156,160.07,153.06,154.5,22318800
2016-12-19,155.16,158.99,155.07,157.81,13693200
2016-12-26,158.41,158.48,154.96,155.68,7500800
2017-01-02,156.3,159.7,155.21,159.1,11837900
2017-01-09,159,159.94,156.67,158.83,13700100
2017-01-16,158.2,160.3,156.75,159.53,11374300
2017-01-23,158.94,170,157.29,167.7,25658700
2017-01-30,165.92,165.99,160.82,162.4,20718400
2017-02-06,162.42,167.42,162.38,166.23,16536100
2017-02-13,166.45,173.25,166.35,172.71,18431500
2017-02-20,173.92,178.8,173.68,177.44,14763600
2017-02-27,178,185.71,177.55,182.18,21966000
2017-03-06,181.4,182.84,177.92,178.7,16713800
2017-03-13,177.16,180.38,177.07,180.1,17552800
2017-03-20,180.1,180.25,174.77,175.82,12200700
2017-03-27,174.37,178.49,173.75,176.86,10573800
2017-04-03,177.08,180.18,175.5,178.85,12979000
2017-04-10,179,179.97,175.56,175.62,9522400
2017-04-17,175.84,180.93,175.65,180.38,13016700
2017-04-24,181.75,184.93,180.11,184.83,16659600
2017-05-01,184.23,185.07,181.8,185.01,13405900
2017-05-08,185.38,187.21,178.18,183.25,18390500
2017-05-15,183.3,184.11,175.47,180.76,15213800
2017-05-22,183.78,187.61,182.52,186.59,11594400
2017-05-29,186.76,191.7,184.53,190.23,13322800
2017-06-05,190.07,191.07,186.39,190.03,13315800
2017-06-12,190.3,197.95,188.05,196.44,16656000
2017-06-19,197.88,202.35,197,202.23,16604300
2017-06-26,202.77,204.39,196.45,197.75,12125800
2017-07-03,198.07,203.28,197.75,202.37,10055700
2017-07-10,202.32,208.73,202.19,208.51,13507700
2017-07-17,208.73,212.2,207.53,212.14,10950200
2017-07-24,212,242.68,211.4,241.27,34884700
2017-07-31,241.85,246.49,236.04,237.71,26618800
2017-08-07,237.6,241.43,230.94,234.88,24506000
2017-08-14,236.01,240.26,234.57,235.77,14567700
2017-08-21,235.77,239.89,234.35,235.89,12802800
2017-08-28,236.22,242.53,234.61,240.33,15078100
2017-09-04,240.3,240.36,234.29,238.78,14518000
2017-09-11,239.5,249.95,237.09,249,24888400
2017-09-18,249.97,259.3,248.91,256.45,19455900
2017-09-25,256.97,258.77,251.17,254.21,14610100
2017-10-02,254.65,258.99,253.53,258.58,15556100
2017-10-09,259,263.79,257.11,260.74,12598900
2017-10-16,261.5,264.83,256.03,264.75,12931600
2017-10-23,265.13,267.21,254.5,256.46,21917600
2017-10-30,255.45,263.79,255.33,261.75,13838900
2017-11-06,262.62,267.62,259.56,260.85,13915300
2017-11-13,261.67,265.04,260.15,262.26,11907800
2017-11-20,263,267.48,262.76,265.88,6974800
2017-11-27,265.38,278.73,264.72,271.38,16476200
2017-12-04,276.16,287.32,274,285.9,19572100
2017-12-11,286.21,297.37,279.9,293.94,25433000
2017-12-18,296,299.33,293.01,295.1,15819400
2017-12-25,295.54,297.44,294.65,294.91,6103900
2018-01-01,295.75,308.89,295.4,308.84,16539500
2018-01-08,308.66,336.88,305.75,336.21,25440100
2018-01-15,339.9,352.23,331.33,337.73,38728400
2018-01-22,335.29,345.98,332.04,343.22,25519900
2018-01-29,341.23,361.45,334.16,348.91,31271300
2018-02-05,342.67,353.59,317.39,332.83,47522000
2018-02-12,336.57,359.5,335.13,355.04,26294500
2018-02-19,352,360.81,351.4,356.66,16331700
2018-02-26,359.5,371.6,335.3,344.67,33394400
2018-03-05,338,355.21,336.61,354.52,25462400
2018-03-12,355.2,355.23,322.3,330.47,42685500
2018-03-19,327.45,341.91,318.32,321,31405400
2018-03-26,330.48,334.88,311.17,327.88,20035200
2018-04-02,325.2,338.96,311.88,326.12,29977300
2018-04-09,332.25,339.67,322.05,329.28,24115700
2018-04-16,332.34,342.41,327.63,338.67,16445500
2018-04-23,339.55,347.67,323.28,340.88,29505000
2018-04-30,341.17,342.58,319.13,334.43,21509100
2018-05-07,335.23,348.57,335.21,342.46,18805900
2018-05-14,344,352.05,340.25,351.23,14570500
2018-05-21,358.46,365,351.62,360.09,23068100
2018-05-28,357.71,360.97,350.66,356.72,14138900
2018-06-04,358.97,374.48,358.85,369.5,17817200
2018-06-11,371,373.33,353.47,357.88,22762000
2018-06-18,353.19,357.65,336.2,338.91,22000800
2018-06-25,332.52,341.42,327.29,335.51,19154000
2018-07-02,330.69,339.69,329.1,334.64,8818100
2018-07-09,337.5,351.24,336.51,350.79,13766900
2018-07-16,353.97,361.86,352.35,354.9,13238000
2018-07-23,355,364.54,345.5,360.65,18609700
2018-07-30,361.99,362.45,345.67,348.44,13467700
2018-08-06,347.37,352.12,336.45,339.41,12899600
2018-08-13,339.6,348.5,328.03,346.4,16630200
2018-08-20,348.6,355.87,345.46,349.38,12455800
2018-08-27,352.11,355.68,341.58,342.79,13325100
2018-09-03,341.6,353.35,339.28,349.28,13166200
2018-09-10,349.49,362.26,337.31,359.8,15803400
2018-09-17,359.28,372.57,354.54,372.23,21466500
2018-09-24,371,374.22,364.32,371.9,14094400
2018-10-01,375.16,394.28,375,386.47,20894600
2018-10-08,383.84,386.82,352.26,360.11,23996300
2018-10-15,359.46,368.57,354.21,356.26,14787000
2018-10-22,357.85,364.6,342.83,359.27,23172200
2018-10-29,360.55,371.54,328.63,357.75,25202100
2018-11-05,359.76,373.7,356.48,369.34,14083200
2018-11-12,370.21,370.48,331.16,335.95,20782700
2018-11-19,335.55,336.04,296.61,312.32,19659100
2018-11-26,315.56,347.58,310.66,346.76,23132200
2018-12-03,364.31,369,317.3,323.22,25596200
2018-12-10,321.27,334.49,315.51,318.75,16937800
2018-12-17,316.91,333.48,304.01,304.55,28731300
2018-12-24,300.65,321.53,292.47,316.38,16345000
2018-12-31,320.5,328.44,309.4,327.08,17004300
2019-01-07,330.52,354.36,323.35,352.9,21497700
2019-01-14,348.2,367.32,347.01,364.73,16675300
2019-01-21,362.86,366.94,353.67,364.2,13248300
2019-01-28,360.65,392.8,357.5,387.43,31541100
2019-02-04,388.97,413.88,388.12,404.91,26625300
2019-02-11,408.1,418.05,402.69,417.97,16130500
2019-02-18,415.5,424.47,414.54,424.05,13054400
2019-02-25,427.49,446.01,424.25,440.62,20570900
2019-03-04,443.22,444.5,415.5,422.54,21663200
2019-03-11,371.27,402.67,363.33,378.99,144538900
2019-03-18,370,380.8,361.53,362.17,48807800
2019-03-25,365,382.18,362.89,381.42,36635300
2019-04-01,385.8,398.66,383.1,391.93,37732300
2019-04-08,376.2,379.95,362.92,379.64,44680700
2019-04-15,376.7,384.64,373.68,380.07,20033400
2019-04-22,375.69,384.8,372.61,380.79,29771900
2019-04-29,378.49,385.3,373.25,376.46,17348300
2019-05-06,367.88,372.48,347.47,354.67,31167200
2019-05-13,344.51,359.99,337,355.02,28635000
2019-05-20,353,361.4,341.15,354.9,21776800
2019-05-27,355.29,359.31,341.36,341.61,13066300
2019-06-03,338.2,355.28,330.67,353.7,16981700
2019-06-10,356,357.4,342.8,347.16,12881500
2019-06-17,348.62,379.31,347.05,371.84,27379800
2019-06-24,372.95,378.98,361.57,364.01,23587700
2019-07-01,364.88,365.23,351.43,355.86,15540400
2019-07-08,350.41,365.45,347.9,365.33,19689200
2019-07-15,360.5,378.4,359.02,377.36,25871800
2019-07-22,376.94,382.48,342,345,29172700
2019-07-29,344.99,351.29,332.32,339.56,25005000
2019-08-05,332.46,339.08,324.57,337.55,20492900
2019-08-12,333.68,337.4,319.55,330.45,20071900
2019-08-19,334.18,369.69,328.88,356.01,27479800
2019-08-26,365.04,367.34,351.18,364.09,16667900
2019-09-02,354.11,364.91,350.61,363,13675200
2019-09-09,357.98,384,354.73,379.76,25291700
2019-09-16,378.14,388.52,375,379.39,20083200
2019-09-23,376.61,391,374.42,382.86,16164900
2019-09-30,383,383.77,363.23,375.7,14457700
2019-10-07,374.06,378.15,368.64,374.92,15395200
2019-10-14,374.25,378.7,344,344,24559600
2019-10-21,332.89,350.8,324.4,339.83,43844300
2019-10-28,341.5,350,339.22,345.19,20752300
2019-11-04,346.46,361.61,346.05,351,19040300
2019-11-11,349.04,373.48,345.56,371.68,31539500
2019-11-18,371.67,375.6,361.61,371.34,20888300
2019-11-25,372.52,374.77,366.18,366.18,11719300
2019-12-02,367.08,367.38,345.59,354.09,20067900
2019-12-09,352.67,353.6,338.5,341.67,23630900
2019-12-16,328.53,336.23,320.61,328,52025900
2019-12-23,336.75,340.59,329.17,330.14,22372300
2019-12-30,330.5,334.89,323.32,332.76,17904600
2020-01-06,329.3,344.19,327.88,329.92,38830100
2020-01-13,332.4,335.35,323,324.15,32257900
2020-01-20,322.6,326.6,302.72,323.05,65610900
2020-01-27,316.21,327.18,314,318.27,36446600
2020-02-03,318.75,343.44,314.88,336.75,32876700
2020-02-10,337.22,349.95,336.32,340.49,23592300
2020-02-17,338.77,341.47,330.23,330.38,14357700
2020-02-24,320,321.74,269.6,275.11,47459700
2020-03-02,279.54,297.44,249.8,262.33,53028600
2020-03-09,238,241.48,154.81,170.2,106051500
2020-03-16,149.42,151,89,95.01,224861100
2020-03-23,98.75,186.48,93.56,162,278796700
2020-03-30,153.81,160.64,120.02,124.52,202626000
2020-04-06,133.7,164.8,129.21,151.84,187009800
2020-04-13,155.5,156,132.9,154,193056400
2020-04-20,147.21,151.63,128.33,128.98,146583200
2020-04-27,129.97,147.18,123.83,133.37,207314000
2020-05-04,127.12,135.55,121.37,133.44,143178300
2020-05-11,130.92,133.12,113.89,120,132892400
2020-05-18,126.18,144.24,125.8,137.53,167353000
2020-05-25,145.21,156.7,141.24,145.85,131726400
2020-06-01,145.45,218.79,144.55,205.43,285395800
2020-06-08,222.94,234.2,166.01,189.51,430739300
2020-06-15,177.18,208.3,175.89,187.02,336307200
2020-06-22,184.56,190.12,167.6,170.01,268697700
2020-06-29,181,194.5,176.27,180.81,234822000
2020-07-06,184.52,189.36,169.75,178.44,199163300
2020-07-13,180.2,189.53,173.41,175.66,191886200
2020-07-20,175.13,182.95,171.62,173.76,153960300
2020-07-27,173.19,174.14,156.26,158,166705600
